WORD: afiþi, FREQ: 1
WORD: yönetmen, FREQ: 1
WORD: yapýmcý, FREQ: 1
WORD: niki, FREQ: 1
WORD: marvin, FREQ: 1
WORD: senarist, FREQ: 1
WORD: roman, FREQ: 1
WORD: uyarlama, FREQ: 1
WORD: müzik, FREQ: 1
WORD: thomas, FREQ: 1
WORD: newman, FREQ: 1
WORD: daðýtýcý, FREQ: 1
WORD: castle, FREQ: 1
WORD: rock, FREQ: 1
WORD: entertainment, FREQ: 1
WORD: çýkýþ, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: türkiye, FREQ: 1
WORD: dk, FREQ: 1
WORD: ülke, FREQ: 1
WORD: dil, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: hasýlat, FREQ: 1
WORD: senaryosunu, FREQ: 1
WORD: yazdýðý, FREQ: 1
WORD: yönettiði, FREQ: 1
WORD: baþrollerinde, FREQ: 1
WORD: ýn, FREQ: 1
WORD: yer, FREQ: 1
WORD: aldýðý, FREQ: 1
WORD: dram, FREQ: 1
WORD: filmidir, FREQ: 1
WORD: novellasýndan, FREQ: 1
WORD: uyarlanan, FREQ: 1
WORD: masumiyetini, FREQ: 1
WORD: iddia, FREQ: 1
WORD: etmesine, FREQ: 1
WORD: sevgilisini, FREQ: 1
WORD: öldürdüðü, FREQ: 1
WORD: gerekçesiyle, FREQ: 1
WORD: devlet, FREQ: 1
WORD: nde, FREQ: 1
WORD: yaklaþýk, FREQ: 1
WORD: yýlýný, FREQ: 1
WORD: geçiren, FREQ: 1
WORD: hikâyesini, FREQ: 1
WORD: kaldýðý, FREQ: 1
WORD: diðer, FREQ: 1
WORD: mahkûmlardan, FREQ: 1
WORD: redding, FREQ: 1
WORD: arkadaþlýk, FREQ: 1
WORD: kuran, FREQ: 1
WORD: müdürünün, FREQ: 1
WORD: faaliyetlerine, FREQ: 1
WORD: baþladýktan, FREQ: 1
WORD: korunmaya, FREQ: 1
WORD: baþlanýr, FREQ: 1
WORD: giþe, FREQ: 1
WORD: hasýlatýnýn, FREQ: 1
WORD: bütçesini, FREQ: 1
WORD: zor, FREQ: 1
WORD: karþýlamasýna, FREQ: 1
WORD: eleþtirmenlerden, FREQ: 1
WORD: olumlu, FREQ: 1
WORD: eleþtiriler, FREQ: 1
WORD: birçok, FREQ: 1
WORD: ödüle, FREQ: 1
WORD: sonrasýnda, FREQ: 1
WORD: kablo, FREQ: 1
WORD: televizyon, FREQ: 1
WORD: vhs, FREQ: 1
WORD: dvd, FREQ: 1
WORD: blu, FREQ: 1
WORD: ray, FREQ: 1
WORD: üzerinde, FREQ: 1
WORD: gördü, FREQ: 1
WORD: enstitüsü, FREQ: 1
WORD: hazýrladýðý, FREQ: 1
WORD: afi, FREQ: 1
WORD: nýn, FREQ: 1
WORD: yýlý, FREQ: 1
WORD: listesinin, FREQ: 1
WORD: yýldönüm, FREQ: 1
WORD: sayýsýna, FREQ: 1
WORD: edildi, FREQ: 1
WORD: sitesinde, FREQ: 1
WORD: fazla, FREQ: 1
WORD: oylarýyla, FREQ: 1
WORD: üzerinden, FREQ: 1
WORD: gelmiþ, FREQ: 1
WORD: geçmiþ, FREQ: 1
WORD: seçildi, FREQ: 1
WORD: i?çindekiler, FREQ: 1
WORD: baþarýlý, FREQ: 1
WORD: dufrense, FREQ: 1
WORD: baþarýyý, FREQ: 1
WORD: evliliðinde, FREQ: 1
WORD: gösterememektedir, FREQ: 1
WORD: erkekle, FREQ: 1
WORD: aldatýlmaktadýr, FREQ: 1
WORD: kabullenemeyen, FREQ: 1
WORD: eþinin, FREQ: 1
WORD: aþýðýyla, FREQ: 1
WORD: buluþtuðu, FREQ: 1
WORD: alkolün, FREQ: 1
WORD: cesaretle, FREQ: 1
WORD: silahýna, FREQ: 1
WORD: mermileri, FREQ: 1
WORD: doldurur, FREQ: 1
WORD: öfkeyle, FREQ: 1
WORD: aracýndan, FREQ: 1
WORD: iner, FREQ: 1
WORD: aþýðýnýn, FREQ: 1
WORD: bulunduðu, FREQ: 1
WORD: eve, FREQ: 1
WORD: gidip, FREQ: 1
WORD: onlarý, FREQ: 1
WORD: öldürecekken, FREQ: 1
WORD: vazgeçer, FREQ: 1
WORD: geriye, FREQ: 1
WORD: döner, FREQ: 1
WORD: dönüþ, FREQ: 1
WORD: kurtaramaz, FREQ: 1
WORD: akþam, FREQ: 1
WORD: aþýðý, FREQ: 1
WORD: yataklarýnda, FREQ: 1
WORD: mermi, FREQ: 1
WORD: yaðmuruna, FREQ: 1
WORD: tutulmuþlardýr, FREQ: 1
WORD: olay, FREQ: 1
WORD: yeri, FREQ: 1
WORD: incelemelerinde, FREQ: 1
WORD: ayak, FREQ: 1
WORD: izlerine, FREQ: 1
WORD: rastlayan, FREQ: 1
WORD: yargýnýn, FREQ: 1
WORD: eline, FREQ: 1
WORD: teslim, FREQ: 1
WORD: yargýlanmasý, FREQ: 1
WORD: sonucunda, FREQ: 1
WORD: suçsuzluðunu, FREQ: 1
WORD: ispatlayamaz, FREQ: 1
WORD: kez, FREQ: 1
WORD: aðýrlaþtýrýlmýþ, FREQ: 1
WORD: müebbet, FREQ: 1
WORD: hapse, FREQ: 1
WORD: mahkum, FREQ: 1
WORD: anda, FREQ: 1
WORD: yaþamý, FREQ: 1
WORD: altüst, FREQ: 1
WORD: olur, FREQ: 1
WORD: aldatýlmýþtýr, FREQ: 1
WORD: öldürülmüþtür, FREQ: 1
WORD: ölümde, FREQ: 1
WORD: hiçbir, FREQ: 1
WORD: suçu, FREQ: 1
WORD: olmamasýna, FREQ: 1
WORD: artýk, FREQ: 1
WORD: hayatýnýn, FREQ: 1
WORD: geri, FREQ: 1
WORD: kalanýný, FREQ: 1
WORD: hapiste, FREQ: 1
WORD: geçirecektir, FREQ: 1
WORD: tanýþtýðý, FREQ: 1
WORD: arkadaþlarý, FREQ: 1
WORD: çatý, FREQ: 1
WORD: muhafýzlarýn, FREQ: 1
WORD: kaptaný, FREQ: 1
WORD: kulak, FREQ: 1
WORD: misafiri, FREQ: 1
WORD: olmuþ, FREQ: 1
WORD: mirasla, FREQ: 1
WORD: vergilendirilmekten, FREQ: 1
WORD: þikayetçi, FREQ: 1
WORD: öðrenmiþtir, FREQ: 1
WORD: vergi, FREQ: 1
WORD: dolayýsýyla, FREQ: 1
WORD: bin, FREQ: 1
WORD: dolarýný, FREQ: 1
WORD: kaybedecek, FREQ: 1
WORD: kurtarabileceðini, FREQ: 1
WORD: söyler, FREQ: 1
WORD: nasýl, FREQ: 1
WORD: kurtacaðýný, FREQ: 1
WORD: þartý, FREQ: 1
WORD: vardýr, FREQ: 1
WORD: kurtarmasýna, FREQ: 1
WORD: karþýlýk, FREQ: 1
WORD: arkadaþlarýna, FREQ: 1
WORD: ister, FREQ: 1
WORD: kabul, FREQ: 1
WORD: çatýda, FREQ: 1
WORD: ýsmalarlar, FREQ: 1
WORD: mahkumlar, FREQ: 1
WORD: kýsa, FREQ: 1
WORD: sürede, FREQ: 1
WORD: olsa, FREQ: 1
WORD: özgür, FREQ: 1
WORD: insan, FREQ: 1
WORD: hissederler, FREQ: 1
WORD: olaydan, FREQ: 1
WORD: görüþtü, FREQ: 1
WORD: ihtiyar, FREQ: 1
WORD: halten, FREQ: 1
WORD: etmesi, FREQ: 1
WORD: cezaevinin, FREQ: 1
WORD: kütüphanesine, FREQ: 1
WORD: gönderdi, FREQ: 1
WORD: yeni, FREQ: 1
WORD: göveri, FREQ: 1
WORD: kütüphanede, FREQ: 1
WORD: çalýþma, FREQ: 1
WORD: bahanesi, FREQ: 1
WORD: konusundaki, FREQ: 1
WORD: iþleri, FREQ: 1
WORD: halletmek, FREQ: 1
WORD: oldu, FREQ: 1
WORD: geçtikçe, FREQ: 1
WORD: iþlerini, FREQ: 1
WORD: emanet, FREQ: 1
WORD: etti, FREQ: 1
WORD: haftalýk, FREQ: 1
WORD: mektuplar, FREQ: 1
WORD: yazarak, FREQ: 1
WORD: çürüyen, FREQ: 1
WORD: iyileþtirmek, FREQ: 1
WORD: devletten, FREQ: 1
WORD: istemeye, FREQ: 1
WORD: baþladý, FREQ: 1
WORD: elli, FREQ: 1
WORD: geçirdiðinden, FREQ: 1
WORD: dünyaya, FREQ: 1
WORD: saðlamayaz, FREQ: 1
WORD: asarak, FREQ: 1
WORD: figaro, FREQ: 1
WORD: düðünü, FREQ: 1
